ward_id,timestamp,rain_mm_idw
TP Cần Thơ | Châu Thành,2025-11-16 14:00,2.7933530790710708
TP Cần Thơ | Châu Thành,2025-11-16 15:00,1.6959930375629626
TP Cần Thơ | Châu Thành,2025-11-16 16:00,10.016637005916875
TP Cần Thơ | Châu Thành,2025-11-16 17:00,5.250145977233392
TP Cần Thơ | Châu Thành,2025-11-16 20:00,1.194743247230433
TP Cần Thơ | Châu Thành,2025-11-16 21:00,5.365791212399737
TP Cần Thơ | Châu Thành,2025-11-16 22:00,1.2431546526281818
TP Cần Thơ | Châu Thành,2025-11-17 10:00,9.780725397978443
TP Cần Thơ | Châu Thành,2025-11-17 11:00,4.241370928636933
TP Cần Thơ | Châu Thành,2025-11-17 12:00,4.089602707859516
TP Cần Thơ | Châu Thành,2025-11-17 13:00,1.5693205571149678
TP Cần Thơ | Châu Thành,2025-11-17 14:00,3.486103450676574
TP Cần Thơ | Châu Thành,2025-11-17 15:00,16.64548303423824
TP Cần Thơ | Châu Thành,2025-11-17 16:00,1.1091769536803524
TP Cần Thơ | Cái Khế,2025-11-16 15:00,4.222532273971949
TP Cần Thơ | Cái Khế,2025-11-16 16:00,20.19203210641448
TP Cần Thơ | Cái Khế,2025-11-16 17:00,7.706320044920194
TP Cần Thơ | Cái Khế,2025-11-16 21:00,12.116509670623644
TP Cần Thơ | Cái Khế,2025-11-16 22:00,6.306301396376287
TP Cần Thơ | Cái Khế,2025-11-17 01:00,1.8224684326150875
TP Cần Thơ | Cái Khế,2025-11-17 10:00,2.6336318231772307
TP Cần Thơ | Cái Khế,2025-11-17 11:00,2.0077922396258456
TP Cần Thơ | Cái Khế,2025-11-17 12:00,2.560829045088682
TP Cần Thơ | Cái Khế,2025-11-17 13:00,2.0202731288369926
TP Cần Thơ | Cái Khế,2025-11-17 15:00,6.773648613456207
TP Cần Thơ | Cái Khế,2025-11-17 16:00,2.014083934683259
TP Cần Thơ | Cái Khế,2025-11-18 13:00,1.676221925776876
TP Cần Thơ | Cái Khế,2025-11-19 19:00,3.442861040845406
TP Cần Thơ | Cái Răng,2025-11-16 15:00,3.6426421202884183
TP Cần Thơ | Cái Răng,2025-11-16 16:00,15.392118263491932
TP Cần Thơ | Cái Răng,2025-11-16 17:00,7.538935958862801
TP Cần Thơ | Cái Răng,2025-11-16 21:00,8.58392444800849
TP Cần Thơ | Cái Răng,2025-11-16 22:00,1.3138456718117717
TP Cần Thơ | Cái Răng,2025-11-17 10:00,5.643328958907676
TP Cần Thơ | Cái Răng,2025-11-17 11:00,2.6591808158891985
TP Cần Thơ | Cái Răng,2025-11-17 12:00,2.321286862706775
TP Cần Thơ | Cái Răng,2025-11-17 13:00,1.9619896280174067
TP Cần Thơ | Cái Răng,2025-11-17 15:00,12.05365805968233
TP Cần Thơ | Cái Răng,2025-11-17 16:00,2.116356456769781
TP Cần Thơ | Cù Lao Dung,2025-11-14 10:00,1.9699762974093984
TP Cần Thơ | Cù Lao Dung,2025-11-16 15:00,1.2552276273953742
TP Cần Thơ | Cù Lao Dung,2025-11-16 20:00,3.167319985001462
TP Cần Thơ | Cù Lao Dung,2025-11-16 21:00,23.303064528443738
